ADORA2A,ADORA2A
CD3D,CD3
CD3E,CD4
CD3G,CD5
CD4,CD4
CD8A,CD8
CD8B,CD9
CD27,CD27
CD28,CD28
CD40,CD40
CD70,CD70
CD80,CD80
CD86,CD86
KLRD1,KLRD1
IL2RB,IL2RB
TNFRSF4,OX40
TNFRSF9,4-1BB
CTLA4,CTLA4
CD40LG,CD40L
LAG3,LAG3
TNFSF4,OX40L
BTLA,BTLA
PDCD1LG2,PD-L2
CD274,PD-L1
ICOS,ICOS
PDCD1,PD-1
HAVCR2,HAVCR2
HLA-A,HLA-A
HLA-B,HLA-B
HLA-C,HLA-C
HLA-DRA,HLA-DR
HLA-DRB1,HLA-DR
HLA-DQA1,HLA-DQ
HLA-DQB1,HLA-DQ
HLA-DPA1,HLA-DP
HLA-DPB1,HLA-DP
KIR3DL1,KIR
KIR2DL3,KIR2
LGALS9,Galectin 9
IDO1,IDO
TDO2,TDO
TNFRSF14,HVEM
TNFRSF18,GITR
C10orf54,VISTA
VTCN1,VTCN1
