"","gene","cell_count","frequency"
"1","ADORA2A",0,0
"2","CD3D",41,0.0369036903690369
"3","CD3E",9,0.0081008100810081
"4","CD3G",9,0.0081008100810081
"5","CD4",16,0.0144014401440144
"6","CD8A",7,0.0063006300630063
"7","CD8B",2,0.0018001800180018
"8","CD27",5,0.0045004500450045
"9","CD28",0,0
"10","CD40",234,0.210621062106211
"11","CD70",0,0
"12","CD80",0,0
"13","CD86",2,0.0018001800180018
"14","KLRD1",4,0.0036003600360036
"15","IL2RB",11,0.0099009900990099
"16","TNFRSF4",1,0.0009000900090009
"17","TNFRSF9",0,0
"18","CTLA4",0,0
"19","CD40LG",0,0
"20","LAG3",43,0.0387038703870387
"21","TNFSF4",5,0.0045004500450045
"22","BTLA",0,0
"23","PDCD1LG2",9,0.0081008100810081
"24","CD274",28,0.0252025202520252
"25","ICOS",0,0
"26","PDCD1",0,0
"27","HAVCR2",4,0.0036003600360036
"28","HLA-A",1086,0.977497749774977
"29","HLA-B",1093,0.983798379837984
"30","HLA-C",1091,0.981998199819982
"31","HLA-DRA",884,0.795679567956796
"32","HLA-DRB1",764,0.687668766876688
"33","HLA-DQA1",180,0.162016201620162
"34","HLA-DQB1",427,0.384338433843384
"35","HLA-DPA1",482,0.433843384338434
"36","HLA-DPB1",423,0.380738073807381
"37","KIR3DL1",0,0
"38","KIR2DL3",0,0
"39","LGALS9",381,0.342934293429343
"40","IDO1",252,0.226822682268227
"41","TDO2",7,0.0063006300630063
"42","TNFRSF14",376,0.338433843384338
"43","TNFRSF18",220,0.198019801980198
"44","C10orf54",365,0.328532853285329
"45","VTCN1",149,0.134113411341134
