"","gene","cell_count","frequency"
"1","ADORA2A",15,0.0545454545454545
"2","CD3D",72,0.261818181818182
"3","CD3E",17,0.0618181818181818
"4","CD3G",33,0.12
"5","CD4",64,0.232727272727273
"6","CD8A",15,0.0545454545454545
"7","CD8B",7,0.0254545454545455
"8","CD27",30,0.109090909090909
"9","CD28",25,0.0909090909090909
"10","CD40",117,0.425454545454545
"11","CD70",4,0.0145454545454545
"12","CD80",28,0.101818181818182
"13","CD86",45,0.163636363636364
"14","KLRD1",20,0.0727272727272727
"15","IL2RB",32,0.116363636363636
"16","TNFRSF4",9,0.0327272727272727
"17","TNFRSF9",1,0.00363636363636364
"18","CTLA4",14,0.0509090909090909
"19","CD40LG",8,0.0290909090909091
"20","LAG3",24,0.0872727272727273
"21","TNFSF4",14,0.0509090909090909
"22","BTLA",4,0.0145454545454545
"23","PDCD1LG2",9,0.0327272727272727
"24","CD274",25,0.0909090909090909
"25","ICOS",21,0.0763636363636364
"26","PDCD1",0,0
"27","HAVCR2",10,0.0363636363636364
"28","HLA-A",0,0
"29","HLA-B",0,0
"30","HLA-C",0,0
"31","HLA-DRA",0,0
"32","HLA-DRB1",0,0
"33","HLA-DQA1",0,0
"34","HLA-DQB1",0,0
"35","HLA-DPA1",0,0
"36","HLA-DPB1",0,0
"37","KIR3DL1",0,0
"38","KIR2DL3",0,0
"39","LGALS9",82,0.298181818181818
"40","IDO1",100,0.363636363636364
"41","TDO2",1,0.00363636363636364
"42","TNFRSF14",200,0.727272727272727
"43","TNFRSF18",12,0.0436363636363636
"44","C10orf54",0,0
"45","VTCN1",161,0.585454545454545
