Haplotype,US,World,Cauc_Am
HLA-DQA10501-DQB10301,,40.8,
HLA-DQA10301-DQB10302,,23.4,9.62
HLA-DQA10102-DQB10602,,12.6,14.27
HLA-DQA10401-DQB10402,,16,
HLA-DQA10101-DQB10501,,13.4,10.85
HLA-DQA10501-DQB10201,,10.9,13.16
HLA-DQA10201-DQB10202,,,11.08
HLA-DQA10505-DQB10301,,,11.06
HLA-DQA10303-DQB10301,,,6.45
HLA-DQA10103-DQB10603,,,5.66
DRB1_0101,6.751076,,
DRB1_0301,10.41747,,
DRB1_0401,6.13024,,
DRB1_0701,12.038108,,
DRB1_1101,5.663515,,
DRB1_1301,5.452668,,
DRB1_1501,10.820251,,
HLA-A11:01,5.55656,,
HLA-A02:01,23.67788,,
HLA-A01:01,12.54922,,
HLA-A03:01,11.36067,,
HLA-A24:02,8.90962,,
HLA-B44:03,5.08879,,
HLA-B07:02,10.5852,,
HLA-B08:01,8.994209,,
HLA-B44:02,6.381633,,
HLA-B44:03,5.088792,,
HLA-B35:01,5.7441,,
HLA-B15:01,4.019016,,
HLA-C03:04,7.462526,,
HLA-C04:01,12.349008,,
HLA-C05:01,6.893611,,
HLA-C06:02,8.277646,,
HLA-C07:01,13.855665,,
HLA-C07:02,12.949919,,
