,Symbol,Set,\# Peptides,HLA-I Coverage,HLA-II Coverage,Total Coverage,\# B-cell Epitope Regions
0,$ \circledast $,CD4+/CD8+,4,0.9412600855367814,0.8972115947718158,0.8445094624395114,0
1,$ \circledast^d $,CD4+/CD8+ (H2$^d$ ligands),3,0.9412600855367814,0.8845078718244855,0.8325519550914717,0
2,$ \circledast^b $,CD4+/CD8+ (H2$^b$ ligands),4,0.9512608066259096,0.8972115947718158,0.8534822253567562,0
3,$ \circledast^{bd} $,CD4+/CD8+ (H2$^b$ and H2$^d$ ligands),4,0.9512608066259096,0.8845078718244855,0.8413976716187268,0
4,$ \circ $,CD4+,3,0.9290756683126173,0.8972115947718158,0.8335774620304539,0
5,$ \circ^d $,CD4+ (H2$^d$ ligands),3,0.9290756683126173,0.8972115947718158,0.8335774620304539,0
6,$ \circ^b $,CD4+ (H2$^b$ ligands),3,0.9290756683126173,0.8972115947718158,0.8335774620304539,0
7,$ \circ^{bd} $,CD4+ (H2$^b$ and H2$^d$ ligands),3,0.9290756683126173,0.8972115947718158,0.8335774620304539,0
8,$ \ast $,CD8+,2,0.9577489696434955,0.36158279246995717,0.34630554692891935,0
9,$ \ast^d $,CD8+ (H2$^d$ ligands),2,0.9471532254877281,0.4922650307958901,0.46625041171314313,0
10,$ \ast^b $,CD8+ (H2$^b$ ligands),2,0.9471532254877281,0.4922650307958901,0.46625041171314313,0
11,$ \ast^{bd} $,CD8+ (H2$^b$ and H2$^d$ ligands),2,0.9471532254877281,0.4922650307958901,0.46625041171314313,0
12,$ \setlength{\fboxsep}{0.5pt} \boxed{\circledast} $,B-Cell/CD4+/CD8+,4,0.8420936539142635,0.6269385406505328,0.5279409664760831,3
13,$ \boxcircle $,B-Cell/CD4+,4,0.8420936539142635,0.6269385406505328,0.5279409664760831,3
14,$ \boxcircle^b $,B-Cell/CD4+ (H2$^b$ ligands),2,0.37183787323092576,0.39391529615593746,0.14647262595575405,2
15,$ \boxast $,B-Cell/CD8+,3,0.8891449691692466,0.22627055557803366,0.20118732616333904,3
16,$ \boxast^d $,B-Cell/CD8+ (H2$^d$ ligands),1,0.7721642880357321,0.38447306625073496,0.2968763714704136,1
17,$ \boxast^b $,B-Cell/CD8+ (H2$^b$ ligands),2,0.8721218219162538,0.22627055557803366,0.19733548917671767,2
18,$ \boxast^{bd} $,B-Cell/CD8+ (H2$^b$ and H2$^d$ ligands),1,0.7721642880357321,0.38447306625073496,0.2968763714704136,1
19,$ \boxempty $,B-Cell,3,0.7804691345036603,0.407172696224566,0.3177857218159088,3
