,Symbol,Set,\# Peptides,HLA-I Coverage,HLA-II Coverage,Total Coverage,\# B-cell Epitope Regions
0,$ \circledast $,CD4+/CD8+,4,0.9224098504238414,0.8845078718244856,0.8158787737483341,0
1,$ \circledast^d $,CD4+/CD8+ (H2$^d$ ligands),4,0.9382664555783005,0.8468514974946189,0.794572352955452,0
2,$ \circledast^b $,CD4+/CD8+ (H2$^b$ ligands),3,0.9224098504238414,0.8468514974946189,0.7811441631352175,0
3,$ \circledast^{bd} $,CD4+/CD8+ (H2$^b$ and H2$^d$ ligands),4,0.9214279140117017,0.8468514974946189,0.7803126088141524,0
4,$ \circ $,CD4+,3,0.9130112692146791,0.8845078718244856,0.8075656546848483,0
5,$ \circ^d $,CD4+ (H2$^d$ ligands),3,0.9130112692146791,0.8845078718244856,0.8075656546848483,0
6,$ \circ^b $,CD4+ (H2$^b$ ligands),3,0.768048766118983,0.8468514974946189,0.650423247736755,0
7,$ \circ^{bd} $,CD4+ (H2$^b$ and H2$^d$ ligands),3,0.9224098504238414,0.8468514974946189,0.7811441631352175,0
8,$ \ast $,CD8+,3,0.9577489696434955,0.6130650958452006,0.5871624638701317,0
9,$ \ast^d $,CD8+ (H2$^d$ ligands),3,0.9512608066259096,0.7618999297822261,0.7247655417728643,0
10,$ \ast^b $,CD8+ (H2$^b$ ligands),3,0.9577489696434955,0.6130650958452006,0.5871624638701317,0
11,$ \ast^{bd} $,CD8+ (H2$^b$ and H2$^d$ ligands),3,0.9471532254877281,0.7261757762924503,0.6877997287864492,0
12,$ \setlength{\fboxsep}{0.5pt} \boxed{\circledast} $,B-Cell/CD4+/CD8+,3,0.8891449691692466,0.6269385406505328,0.5574392493977304,3
13,$ \boxcircle $,B-Cell/CD4+,3,0.8891449691692466,0.6269385406505328,0.5574392493977304,3
14,$ \boxcircle^d $,B-Cell/CD4+ (H2$^d$ ligands),1,0.6619075813530046,0.3985834998865039,0.2638254403770914,1
15,$ \boxcircle^b $,B-Cell/CD4+ (H2$^b$ ligands),2,0.6477112863015715,0.39391529615593746,0.2551433831670267,2
16,$ \boxast $,B-Cell/CD8+,3,0.9080185112027349,0.5766213343837641,0.5235828455748798,3
17,$ \boxast^d $,B-Cell/CD8+ (H2$^d$ ligands),1,0.8178452011245702,0.38447306625073496,0.3144394521948125,1
18,$ \boxast^b $,B-Cell/CD8+ (H2$^b$ ligands),2,0.8938936274098114,0.4647770596689168,0.41546125180431437,2
19,$ \boxast^{bd} $,B-Cell/CD8+ (H2$^b$ and H2$^d$ ligands),1,0.8178452011245702,0.38447306625073496,0.3144394521948125,1
20,$ \boxempty $,B-Cell,3,0.8178452011245702,0.5283866018458875,0.432138446658178,3
21,$ \boxempty^d $,B-Cell (H2$^d$ ligands),3,0.8178452011245702,0.5283866018458875,0.432138446658178,3
22,$ \boxempty^b $,B-Cell (H2$^b$ ligands),3,0.8178452011245702,0.5283866018458875,0.432138446658178,3
23,$ \boxempty^{bd} $,B-Cell (H2$^b$ and H2$^d$ ligands),3,0.8178452011245702,0.5283866018458875,0.432138446658178,3
