HLA,pop.ID,pop.name,freq,sample.size
DQA1*01:01,1310,Argentina Buenos Aires,0.131,466
DQA1*01:01,1312,Argentina Chiriguano,0.045,54
DQA1*01:01,1836,Argentina Gran Chaco Eastern Toba,0.023,135
DQA1*01:01,1837,Argentina Gran Chaco Mataco Wichi,0,49
DQA1*01:01,1838,Argentina Gran Chaco Western Toba Pilaga,0,19
DQA1*01:01,1859,Argentina Mapuche,0.059,48
DQA1*01:01,1311,Argentina Rosario Toba,0.064,86
DQA1*01:01,1700,Australia Cape York Peninsula Aborigine,0.167,103
DQA1*01:01,1702,Australia Kimberly Aborigine,0.085,41
DQA1*01:01,1547,Azores Terceira Island,0.113,130
DQA1*01:01,3618,Brazil   Paraná Caucasian,0.1466,641
DQA1*01:01,3683,Brazil  Puyanawa,0.077,150
DQA1*01:01,1835,Brazil Central Plateau Xavante,0,74
DQA1*01:01,1330,Brazil Guarani Nandeva,0,86
DQA1*01:01,1370,Brazil North East Mixed,0.174,205
DQA1*01:01,1905,Cameroon,0.051,126
DQA1*01:01,1268,Cameroon Saa,0.099,172
DQA1*01:01,1287,Canada British Columbia Athabaskan,0.176,62
DQA1*01:01,2496,Chile Santiago pop 2,0.31,124
DQA1*01:01,1691,China Beijing and Xian,0.117,171
DQA1*01:01,2377,China Canton Han,0.098,264
DQA1*01:01,1825,China Harbin Manchu pop 2,0.138,50
DQA1*01:01,1690,China Hong Kong and Singapore,0.096,135
DQA1*01:01,3239,China pop1,0.108,103
DQA1*01:01,1906,China Urumqi Han,0.051,59
DQA1*01:01,1907,China Urumqi Kazak,0.155,42
DQA1*01:01,1908,China Urumqi Uyghur,0.053,57
DQA1*01:01,1692,China Xinjiang Province Uyghur,0.136,92
DQA1*01:01,1435,China Yichun,0.112,76
DQA1*01:01,3735,"China, Xinjiang Uyghur Autonomous Region Han",0.1214,70
DQA1*01:01,3732,"China, Xinjiang Uyghur Autonomous Region Hui",0.175,40
DQA1*01:01,3733,"China, Xinjiang Uyghur Autonomous Region Kazakh",0.125,52
DQA1*01:01,3734,"China, Xinjiang Uyghur Autonomous Region Uyghur",0.1197,71
DQA1*01:01,1830,Colombia Guajira Peninsula Wayuu,0.045,88
DQA1*01:01,1855,Colombia North Eastern Plains Sikuani,0.019,27
DQA1*01:01,1850,Colombia Northwest Choco,0.15,20
DQA1*01:01,1847,Colombia Providencia Island African,0.267,30
DQA1*01:01,1828,Colombia Sierra Nevada de Santa Marta Arhuaco,0.041,107
DQA1*01:01,1852,Colombia Sierra Nevada de Santa Marta Ijka pop 2,0.017,30
